"Servers Number" Latency
1 0.09999999999999999
2 0.052631578947368425
3 0.037235367372353674
4 0.029693831607384064
5 0.025249864414658714
6 0.02233542833803849
7 0.02028510418806498
8 0.018769162376828213
9 0.017605945826614566
10 0.016687315241076972
11 0.015944967364135757
12 0.015333690942522113
13 0.01482239998598828
14 0.014389036709126994
15 0.014017528670530705
16 0.013695896211702436
17 0.01341503361101428
18 0.013167900224829568
19 0.012948969512916245
